year,month,tweets,keywords,date,All
2009,10,326,Ching chong,2009-10-01,Specific Terms
2009,11,351,Ching chong,2009-11-01,Specific Terms
2009,12,511,Ching chong,2009-12-01,Specific Terms
2010,1,510,Ching chong,2010-01-01,Specific Terms
2010,2,548,Ching chong,2010-02-01,Specific Terms
2010,3,689,Ching chong,2010-03-01,Specific Terms
2010,4,580,Ching chong,2010-04-01,Specific Terms
2010,5,589,Ching chong,2010-05-01,Specific Terms
2010,6,657,Ching chong,2010-06-01,Specific Terms
2010,7,673,Ching chong,2010-07-01,Specific Terms
2010,8,691,Ching chong,2010-08-01,Specific Terms
2010,9,717,Ching chong,2010-09-01,Specific Terms
2010,10,779,Ching chong,2010-10-01,Specific Terms
2010,11,855,Ching chong,2010-11-01,Specific Terms
2010,12,949,Ching chong,2010-12-01,Specific Terms
2011,1,1593,Ching chong,2011-01-01,Specific Terms
2011,2,1234,Ching chong,2011-02-01,Specific Terms
2011,3,5741,Ching chong,2011-03-01,Specific Terms
2011,4,2691,Ching chong,2011-04-01,Specific Terms
2011,5,2534,Ching chong,2011-05-01,Specific Terms
2011,6,3273,Ching chong,2011-06-01,Specific Terms
2011,7,2922,Ching chong,2011-07-01,Specific Terms
2011,8,3444,Ching chong,2011-08-01,Specific Terms
2011,9,2802,Ching chong,2011-09-01,Specific Terms
2011,10,3213,Ching chong,2011-10-01,Specific Terms
2011,11,3040,Ching chong,2011-11-01,Specific Terms
2011,12,4185,Ching chong,2011-12-01,Specific Terms
2012,1,5068,Ching chong,2012-01-01,Specific Terms
2012,2,5736,Ching chong,2012-02-01,Specific Terms
2012,3,4500,Ching chong,2012-03-01,Specific Terms
2012,4,5400,Ching chong,2012-04-01,Specific Terms
2012,5,5320,Ching chong,2012-05-01,Specific Terms
2012,6,5382,Ching chong,2012-06-01,Specific Terms
2012,7,6996,Ching chong,2012-07-01,Specific Terms
2012,8,6808,Ching chong,2012-08-01,Specific Terms
2012,9,5718,Ching chong,2012-09-01,Specific Terms
2012,10,5516,Ching chong,2012-10-01,Specific Terms
2012,11,5344,Ching chong,2012-11-01,Specific Terms
2012,12,5934,Ching chong,2012-12-01,Specific Terms
2013,1,7187,Ching chong,2013-01-01,Specific Terms
2013,2,5892,Ching chong,2013-02-01,Specific Terms
2013,3,6617,Ching chong,2013-03-01,Specific Terms
2013,4,7319,Ching chong,2013-04-01,Specific Terms
2013,5,5650,Ching chong,2013-05-01,Specific Terms
2013,6,5814,Ching chong,2013-06-01,Specific Terms
2013,7,6074,Ching chong,2013-07-01,Specific Terms
2013,8,6973,Ching chong,2013-08-01,Specific Terms
2013,9,5951,Ching chong,2013-09-01,Specific Terms
2013,10,4949,Ching chong,2013-10-01,Specific Terms
2013,11,17702,Ching chong,2013-11-01,Specific Terms
2013,12,6584,Ching chong,2013-12-01,Specific Terms
2014,1,6591,Ching chong,2014-01-01,Specific Terms
2014,2,4320,Ching chong,2014-02-01,Specific Terms
2014,3,6724,Ching chong,2014-03-01,Specific Terms
2014,4,6188,Ching chong,2014-04-01,Specific Terms
2014,5,8663,Ching chong,2014-05-01,Specific Terms
2014,6,11550,Ching chong,2014-06-01,Specific Terms
2014,7,10130,Ching chong,2014-07-01,Specific Terms
2014,8,8949,Ching chong,2014-08-01,Specific Terms
2014,9,7194,Ching chong,2014-09-01,Specific Terms
2014,10,7277,Ching chong,2014-10-01,Specific Terms
2014,11,7032,Ching chong,2014-11-01,Specific Terms
2014,12,7514,Ching chong,2014-12-01,Specific Terms
2015,1,6920,Ching chong,2015-01-01,Specific Terms
2015,2,4476,Ching chong,2015-02-01,Specific Terms
2015,3,3979,Ching chong,2015-03-01,Specific Terms
2015,4,3928,Ching chong,2015-04-01,Specific Terms
2015,5,4136,Ching chong,2015-05-01,Specific Terms
2015,6,8223,Ching chong,2015-06-01,Specific Terms
2015,7,4238,Ching chong,2015-07-01,Specific Terms
2015,8,4021,Ching chong,2015-08-01,Specific Terms
2015,9,3575,Ching chong,2015-09-01,Specific Terms
2015,10,2361,Ching chong,2015-10-01,Specific Terms
2015,11,2104,Ching chong,2015-11-01,Specific Terms
2015,12,1982,Ching chong,2015-12-01,Specific Terms
2016,1,1866,Ching chong,2016-01-01,Specific Terms
2016,2,1881,Ching chong,2016-02-01,Specific Terms
2016,3,1754,Ching chong,2016-03-01,Specific Terms
2016,4,1844,Ching chong,2016-04-01,Specific Terms
2016,5,2120,Ching chong,2016-05-01,Specific Terms
2016,6,3146,Ching chong,2016-06-01,Specific Terms
2016,7,3277,Ching chong,2016-07-01,Specific Terms
2016,8,3478,Ching chong,2016-08-01,Specific Terms
2016,9,1922,Ching chong,2016-09-01,Specific Terms
2016,10,1886,Ching chong,2016-10-01,Specific Terms
2016,11,1894,Ching chong,2016-11-01,Specific Terms
2016,12,1890,Ching chong,2016-12-01,Specific Terms
2017,1,1927,Ching chong,2017-01-01,Specific Terms
2017,2,2383,Ching chong,2017-02-01,Specific Terms
2017,3,1572,Ching chong,2017-03-01,Specific Terms
2017,4,1556,Ching chong,2017-04-01,Specific Terms
2017,5,2100,Ching chong,2017-05-01,Specific Terms
2017,6,1625,Ching chong,2017-06-01,Specific Terms
2017,7,3192,Ching chong,2017-07-01,Specific Terms
2017,8,1814,Ching chong,2017-08-01,Specific Terms
2017,9,2304,Ching chong,2017-09-01,Specific Terms
2017,10,2211,Ching chong,2017-10-01,Specific Terms
2017,11,11152,Ching chong,2017-11-01,Specific Terms
2017,12,1361,Ching chong,2017-12-01,Specific Terms
2018,1,1686,Ching chong,2018-01-01,Specific Terms
2018,2,1627,Ching chong,2018-02-01,Specific Terms
2018,3,1442,Ching chong,2018-03-01,Specific Terms
2018,4,2042,Ching chong,2018-04-01,Specific Terms
2018,5,11364,Ching chong,2018-05-01,Specific Terms
2018,6,1936,Ching chong,2018-06-01,Specific Terms
2018,7,1496,Ching chong,2018-07-01,Specific Terms
2018,8,5220,Ching chong,2018-08-01,Specific Terms
2018,9,1589,Ching chong,2018-09-01,Specific Terms
2018,10,1676,Ching chong,2018-10-01,Specific Terms
2018,11,3126,Ching chong,2018-11-01,Specific Terms
2018,12,6738,Ching chong,2018-12-01,Specific Terms
2019,1,4856,Ching chong,2019-01-01,Specific Terms
2019,2,5392,Ching chong,2019-02-01,Specific Terms
2019,3,3098,Ching chong,2019-03-01,Specific Terms
2019,4,3888,Ching chong,2019-04-01,Specific Terms
2019,5,3914,Ching chong,2019-05-01,Specific Terms
2019,6,4169,Ching chong,2019-06-01,Specific Terms
2019,7,4006,Ching chong,2019-07-01,Specific Terms
2019,8,5000,Ching chong,2019-08-01,Specific Terms
2019,9,28771,Ching chong,2019-09-01,Specific Terms
2019,10,4088,Ching chong,2019-10-01,Specific Terms
2019,11,3266,Ching chong,2019-11-01,Specific Terms
2019,12,5129,Ching chong,2019-12-01,Specific Terms
2020,1,7499,Ching chong,2020-01-01,Specific Terms
2020,2,3487,Ching chong,2020-02-01,Specific Terms
2020,3,10900,Ching chong,2020-03-01,Specific Terms
2020,4,4885,Ching chong,2020-04-01,Specific Terms
2020,5,5351,Ching chong,2020-05-01,Specific Terms
2020,6,5161,Ching chong,2020-06-01,Specific Terms
2020,7,4132,Ching chong,2020-07-01,Specific Terms
2020,8,3789,Ching chong,2020-08-01,Specific Terms
2020,9,3548,Ching chong,2020-09-01,Specific Terms
2020,10,3138,Ching chong,2020-10-01,Specific Terms
2020,11,2424,Ching chong,2020-11-01,Specific Terms
2020,12,3094,Ching chong,2020-12-01,Specific Terms
2008,1,6,Chink,2008-01-01,Specific Terms
2008,2,15,Chink,2008-02-01,Specific Terms
2008,3,23,Chink,2008-03-01,Specific Terms
2008,4,24,Chink,2008-04-01,Specific Terms
2008,5,34,Chink,2008-05-01,Specific Terms
2008,6,29,Chink,2008-06-01,Specific Terms
2008,7,26,Chink,2008-07-01,Specific Terms
2008,8,74,Chink,2008-08-01,Specific Terms
2008,9,58,Chink,2008-09-01,Specific Terms
2008,10,59,Chink,2008-10-01,Specific Terms
2008,11,73,Chink,2008-11-01,Specific Terms
2008,12,90,Chink,2008-12-01,Specific Terms
2009,1,130,Chink,2009-01-01,Specific Terms
2009,2,227,Chink,2009-02-01,Specific Terms
2009,3,457,Chink,2009-03-01,Specific Terms
2009,4,739,Chink,2009-04-01,Specific Terms
2009,5,1173,Chink,2009-05-01,Specific Terms
2009,6,1419,Chink,2009-06-01,Specific Terms
2009,7,1940,Chink,2009-07-01,Specific Terms
2009,8,2194,Chink,2009-08-01,Specific Terms
2009,9,2700,Chink,2009-09-01,Specific Terms
2009,10,3832,Chink,2009-10-01,Specific Terms
2009,11,4287,Chink,2009-11-01,Specific Terms
2009,12,6022,Chink,2009-12-01,Specific Terms
2010,1,6566,Chink,2010-01-01,Specific Terms
2010,2,9903,Chink,2010-02-01,Specific Terms
2010,3,13198,Chink,2010-03-01,Specific Terms
2010,4,14068,Chink,2010-04-01,Specific Terms
2010,5,11221,Chink,2010-05-01,Specific Terms
2010,6,12507,Chink,2010-06-01,Specific Terms
2010,7,13192,Chink,2010-07-01,Specific Terms
2010,8,12223,Chink,2010-08-01,Specific Terms
2010,9,12112,Chink,2010-09-01,Specific Terms
2010,10,14173,Chink,2010-10-01,Specific Terms
2010,11,14503,Chink,2010-11-01,Specific Terms
2010,12,18751,Chink,2010-12-01,Specific Terms
2011,1,23236,Chink,2011-01-01,Specific Terms
2011,2,19372,Chink,2011-02-01,Specific Terms
2011,3,24065,Chink,2011-03-01,Specific Terms
2011,4,25222,Chink,2011-04-01,Specific Terms
2011,5,28521,Chink,2011-05-01,Specific Terms
2011,6,33514,Chink,2011-06-01,Specific Terms
2011,7,41540,Chink,2011-07-01,Specific Terms
2011,8,44615,Chink,2011-08-01,Specific Terms
2011,9,42310,Chink,2011-09-01,Specific Terms
2011,10,45529,Chink,2011-10-01,Specific Terms
2011,11,55147,Chink,2011-11-01,Specific Terms
2011,12,62363,Chink,2011-12-01,Specific Terms
2012,1,78852,Chink,2012-01-01,Specific Terms
2012,2,103182,Chink,2012-02-01,Specific Terms
2012,3,81738,Chink,2012-03-01,Specific Terms
2012,4,78127,Chink,2012-04-01,Specific Terms
2012,5,84374,Chink,2012-05-01,Specific Terms
2012,6,86124,Chink,2012-06-01,Specific Terms
2012,7,90870,Chink,2012-07-01,Specific Terms
2012,8,83722,Chink,2012-08-01,Specific Terms
2012,9,73201,Chink,2012-09-01,Specific Terms
2012,10,66573,Chink,2012-10-01,Specific Terms
2012,11,67957,Chink,2012-11-01,Specific Terms
2012,12,68138,Chink,2012-12-01,Specific Terms
2013,1,70816,Chink,2013-01-01,Specific Terms
2013,2,60696,Chink,2013-02-01,Specific Terms
2013,3,67241,Chink,2013-03-01,Specific Terms
2013,4,67045,Chink,2013-04-01,Specific Terms
2013,5,66127,Chink,2013-05-01,Specific Terms
2013,6,63188,Chink,2013-06-01,Specific Terms
2013,7,61437,Chink,2013-07-01,Specific Terms
2013,8,60649,Chink,2013-08-01,Specific Terms
2013,9,48792,Chink,2013-09-01,Specific Terms
2013,10,50392,Chink,2013-10-01,Specific Terms
2013,11,44087,Chink,2013-11-01,Specific Terms
2013,12,50031,Chink,2013-12-01,Specific Terms
2014,1,51417,Chink,2014-01-01,Specific Terms
2014,2,47836,Chink,2014-02-01,Specific Terms
2014,3,47796,Chink,2014-03-01,Specific Terms
2014,4,43242,Chink,2014-04-01,Specific Terms
2014,5,48467,Chink,2014-05-01,Specific Terms
2014,6,57206,Chink,2014-06-01,Specific Terms
2014,7,48888,Chink,2014-07-01,Specific Terms
2014,8,42219,Chink,2014-08-01,Specific Terms
2014,9,32784,Chink,2014-09-01,Specific Terms
2014,10,32875,Chink,2014-10-01,Specific Terms
2014,11,30401,Chink,2014-11-01,Specific Terms
2014,12,37003,Chink,2014-12-01,Specific Terms
2015,1,38252,Chink,2015-01-01,Specific Terms
2015,2,26514,Chink,2015-02-01,Specific Terms
2015,3,32339,Chink,2015-03-01,Specific Terms
2015,4,22473,Chink,2015-04-01,Specific Terms
2015,5,22121,Chink,2015-05-01,Specific Terms
2015,6,21233,Chink,2015-06-01,Specific Terms
2015,7,18517,Chink,2015-07-01,Specific Terms
2015,8,19011,Chink,2015-08-01,Specific Terms
2015,9,14262,Chink,2015-09-01,Specific Terms
2015,10,14577,Chink,2015-10-01,Specific Terms
2015,11,13973,Chink,2015-11-01,Specific Terms
2015,12,14667,Chink,2015-12-01,Specific Terms
2016,1,14620,Chink,2016-01-01,Specific Terms
2016,2,11024,Chink,2016-02-01,Specific Terms
2016,3,12908,Chink,2016-03-01,Specific Terms
2016,4,14722,Chink,2016-04-01,Specific Terms
2016,5,14503,Chink,2016-05-01,Specific Terms
2016,6,17166,Chink,2016-06-01,Specific Terms
2016,7,13933,Chink,2016-07-01,Specific Terms
2016,8,13340,Chink,2016-08-01,Specific Terms
2016,9,13135,Chink,2016-09-01,Specific Terms
2016,10,12713,Chink,2016-10-01,Specific Terms
2016,11,11953,Chink,2016-11-01,Specific Terms
2016,12,11704,Chink,2016-12-01,Specific Terms
2017,1,16508,Chink,2017-01-01,Specific Terms
2017,2,11262,Chink,2017-02-01,Specific Terms
2017,3,13104,Chink,2017-03-01,Specific Terms
2017,4,9227,Chink,2017-04-01,Specific Terms
2017,5,8100,Chink,2017-05-01,Specific Terms
2017,6,8709,Chink,2017-06-01,Specific Terms
2017,7,8836,Chink,2017-07-01,Specific Terms
2017,8,8873,Chink,2017-08-01,Specific Terms
2017,9,8377,Chink,2017-09-01,Specific Terms
2017,10,7786,Chink,2017-10-01,Specific Terms
2017,11,7435,Chink,2017-11-01,Specific Terms
2017,12,6453,Chink,2017-12-01,Specific Terms
2018,1,9679,Chink,2018-01-01,Specific Terms
2018,2,7614,Chink,2018-02-01,Specific Terms
2018,3,9033,Chink,2018-03-01,Specific Terms
2018,4,6927,Chink,2018-04-01,Specific Terms
2018,5,7924,Chink,2018-05-01,Specific Terms
2018,6,10424,Chink,2018-06-01,Specific Terms
2018,7,7781,Chink,2018-07-01,Specific Terms
2018,8,10976,Chink,2018-08-01,Specific Terms
2018,9,8528,Chink,2018-09-01,Specific Terms
2018,10,8848,Chink,2018-10-01,Specific Terms
