Headspace UserId,Pack Category,Pack Name,Session Name,Completion Date,Completion Platform
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,End of Day,End of Day,2018-03-26 04:24:45,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-03-26 19:29:38,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-03-28 00:59:15,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-03-29 04:21:10,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Distractions,Session 3,2018-03-30 02:58:19,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Distractions,Session 4,2018-03-30 12:22:14,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Distractions,Session 5,2018-03-31 15:49:03,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 2,2018-04-02 03:19:52,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,End of Day,End of Day,2018-04-02 03:25:24,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 3,2018-04-03 03:39:12,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Distractions,Session 6,2018-04-03 13:44:02,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 5,2018-04-05 05:07:54,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 6,2018-04-06 05:21:54,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Distractions,Session 7,2018-04-07 01:29:17,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-04-07 04:56:23,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 7,2018-04-07 23:54:46,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 7,2018-04-07 23:56:11,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-04-08 21:52:54,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 9,2018-04-09 13:47:41,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-04-10 04:35:57,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 10,2018-04-10 14:11:56,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Distractions,Session 8,2018-04-11 12:56:23,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 12,2018-04-12 13:59:17,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-04-14 03:11:02,ANDROID
