date	going_to	method	leave	bus_time	bus_number	leave_bus	arrive	duration	open_mbta_said	
4/25/2018	work	bus	8:32:00 AM	8:38:00 AM	64		9:07:00 AM	0:35:00	8:35:00 AM	went to broad
4/30/2018	work	bus	9:31:00 AM	9:37:00 AM	64	9:48:00 AM	9:56:00 AM	0:25:00	9:35:00 AM	
5/1/2018	work	bus	9:35:00 AM	9:38:00 AM	64	9:50:00 AM	9:58:00 AM	0:23:00	9:38:00 AM	
5/1/2018	home	bus	9:58:00 PM	10:10:00 PM	64	10:20:00 PM	10:21:00 PM	0:23:00	10:10:00 PM	
5/2/2018	work	bus	10:27:00 AM	10:36:00 AM	70	10:48:00 AM	10:56:00 AM	0:29:00	10:35:00 AM	
5/3/2018	work	bus	8:49:00 AM	9:00:00 AM	64	9:19:00 AM	9:22:00 AM	0:33:00	8:55:00 AM	
5/4/2018	work	bus	8:44:00 AM	8:51:00 AM	64	9:10:00 AM	9:14:00 AM	0:30:00	8:48:00 AM	
5/7/2018	work	bike	9:45:00 AM				10:05:00 AM	0:20:00		
5/7/2018	home	bike	8:25:00 PM				8:41:00 PM	0:16:00		
5/8/2018	work	bus	8:45:00 AM	8:53:00 AM	64	9:09:00 AM	9:13:00 AM	0:28:00	8:50:00 AM	
5/14/2018	work	bike	9:18:00 AM				9:37:00 AM	0:19:00		
5/15/2018	work	bike	9:11:00 AM				9:26:00 AM	0:15:00		
5/16/2018	work	bus	9:39:00 AM	9:51:00 AM	70	10:00:00 AM		-9:39:00	9:52:00 AM	got off at central, went to medical
5/17/2018	work	bike	9:07:00 AM				9:25:00 AM	0:18:00		
5/18/2018	work	bike	8:41:00 AM				9:01:00 AM	0:20:00		
5/18/2018	home	bike	7:43:00 PM				8:00:00 PM	0:17:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
